GUARDS OFF.  150 restarts. Roots = max|e| < 1e-11.
 split                k  roots  best min_dist  best min_det4  best min_16K2  scale<40  ALL guards ok
 [2, 3]|[0, 1, 4, 5]  2     63   1.000e+00      7.683e-01      3.345e+01        63      60
 [2, 3]|[0, 1, 4, 5]  3      0   -- none --
 [2, 3]|[0, 1, 4, 5]  4      0   -- none --
 [0, 2, 3]|[1, 4, 5]  2      0   -- none --
 [0, 2, 3]|[1, 4, 5]  3      0   -- none --
 [0, 2, 3]|[1, 4, 5]  4      0   -- none --
 [1, 2, 3]|[0, 4, 5]  2      0   -- none --
 [1, 2, 3]|[0, 4, 5]  3      0   -- none --
 [1, 2, 3]|[0, 4, 5]  4      0   -- none --
 [1, 4]|[0, 2, 3, 5]  2     32   1.000e+00      6.822e-01      4.080e+01        32      32
 [1, 4]|[0, 2, 3, 5]  3      1   3.215e-14      3.241e-17      0.000e+00         1      0
 [1, 4]|[0, 2, 3, 5]  4      0   -- none --
