supervisor: 5 workers, gb budget 25s, z3 20000ms
  KILL shard 03 stuck 25s on class 138571 -> skipped, restarting
  KILL shard 01 stuck 28s on class 178151 -> skipped, restarting
  KILL shard 04 stuck 27s on class 49657 -> skipped, restarting
  KILL shard 02 stuck 27s on class 103968 -> skipped, restarting
  KILL shard 00 stuck 26s on class 29457 -> skipped, restarting
  60s done=263(+263, 4.37/s) unit=223 unsat=40 SAT=0 unk=0 skip=5 kills=5 healthy=True eta=0.13h
  KILL shard 02 stuck 30s on class 179206 -> skipped, restarting
  KILL shard 00 stuck 29s on class 42417 -> skipped, restarting
  KILL shard 03 stuck 29s on class 21998 -> skipped, restarting
  KILL shard 04 stuck 26s on class 104110 -> skipped, restarting
  KILL shard 01 stuck 28s on class 132152 -> skipped, restarting
  KILL shard 00 stuck 29s on class 180014 -> skipped, restarting
  KILL shard 02 stuck 28s on class 136144 -> skipped, restarting
  120s done=425(+162, 2.69/s) unit=359 unsat=66 SAT=0 unk=0 skip=12 kills=12 healthy=True eta=0.2h
  KILL shard 02 stuck 28s on class 132153 -> skipped, restarting
  KILL shard 01 stuck 27s on class 143269 -> skipped, restarting
  KILL shard 04 stuck 27s on class 169047 -> skipped, restarting
  KILL shard 00 stuck 25s on class 155361 -> skipped, restarting
  180s done=583(+158, 2.63/s) unit=479 unsat=104 SAT=0 unk=0 skip=16 kills=16 healthy=True eta=0.18h
  KILL shard 01 stuck 29s on class 105169 -> skipped, restarting
  KILL shard 02 stuck 27s on class 147452 -> skipped, restarting
  KILL shard 03 stuck 26s on class 168207 -> skipped, restarting
  KILL shard 04 stuck 26s on class 147438 -> skipped, restarting
  KILL shard 01 stuck 28s on class 179369 -> skipped, restarting
  KILL shard 00 stuck 28s on class 135927 -> skipped, restarting
  KILL shard 03 stuck 26s on class 159195 -> skipped, restarting
  KILL shard 02 stuck 29s on class 104147 -> skipped, restarting
  241s done=739(+156, 2.59/s) unit=603 unsat=136 SAT=0 unk=0 skip=24 kills=24 healthy=True eta=0.17h
  KILL shard 04 stuck 27s on class 153853 -> skipped, restarting
  KILL shard 00 stuck 28s on class 178352 -> skipped, restarting
  KILL shard 01 stuck 25s on class 132403 -> skipped, restarting
  KILL shard 02 stuck 27s on class 121092 -> skipped, restarting
  KILL shard 04 stuck 26s on class 168774 -> skipped, restarting
  KILL shard 01 stuck 29s on class 154553 -> skipped, restarting
  KILL shard 03 stuck 26s on class 168955 -> skipped, restarting
  301s done=952(+213, 3.54/s) unit=779 unsat=173 SAT=0 unk=0 skip=31 kills=31 healthy=True eta=0.11h
  KILL shard 02 stuck 25s on class 105317 -> skipped, restarting
  KILL shard 04 stuck 27s on class 148042 -> skipped, restarting
  KILL shard 00 stuck 28s on class 106689 -> skipped, restarting
  KILL shard 01 stuck 26s on class 8727 -> skipped, restarting
  KILL shard 02 stuck 29s on class 132404 -> skipped, restarting
  361s done=1070(+118, 1.96/s) unit=867 unsat=203 SAT=0 unk=0 skip=36 kills=36 healthy=True eta=0.17h
  KILL shard 01 stuck 26s on class 176037 -> skipped, restarting
  KILL shard 03 stuck 27s on class 167181 -> skipped, restarting
